commodity_name,state,district,market,min_price,max_price,modal_price,date
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,86.88,88.86,87,3/3/2021
Groundnut,Tamil Nadu,Villupuram,Tindivanam,88.75,97.86,94,3/2/2021
Groundnut,Tamil Nadu,Vellore,Vellore,72.21,100.5,100,3/2/2021
Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,85.86,90.53,90.53,3/10/2021
Groundnut,Tamil Nadu,Villupuram,Manalurpet,84.65,85.15,84.9,3/8/2021
Groundnut,Tamil Nadu,Villupuram,Gingee,86.58,94.61,90.6,3/10/2021
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,89.58,95.45,92.51,3/10/2021
Groundnut,Tamil Nadu,Villupuram,Avalurpet,91.86,96.92,93.72,3/30/2021
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,94.27,97.77,95.72,3/30/2021
Groundnut,Tamil Nadu,Villupuram,Tindivanam,79.61,91.66,89.24,3/30/2021
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,80.36,95.34,90.83,3/30/2021
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,94.9,98.45,96.24,3/12/2021
Groundnut,Tamil Nadu,Vellore,Vellore,80.55,101.74,100,3/12/2021
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,50.73,81.41,61.98,3/12/2021
Groundnut,Tamil Nadu,Cuddalore,Cuddalore,93.43,95.49,95.49,3/12/2021
Groundnut,Tamil Nadu,Dindigul,Dindigul,48.9,50,49.98,3/23/2021
Groundnut,Tamil Nadu,Coimbatore,Sevur,60,71,65,3/23/2021
Groundnut,Tamil Nadu,Cuddalore,Cuddalore,83.61,91.24,91.24,3/26/2021
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,52.25,68.28,62.23,3/17/2021
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,54.73,67.23,62.48,3/16/2021
Groundnut,Tamil Nadu,Cuddalore,Cuddalore,78.36,85.9,85.25,4/16/2021
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,75.36,77.74,76.55,5/24/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,68.36,72.52,72.24,5/24/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,75.61,78.99,77.3,5/24/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,78.48,78.48,78.48,5/24/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,47.73,62.25,61,5/24/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,66.36,71.99,71.38,5/24/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,51,59.5,52,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,77.63,83.83,80.73,5/28/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,51.5,61,53,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,69.24,77.36,75.99,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,72.49,79.11,75.8,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,69.86,77.7,76.36,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,70.86,77.13,74,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,57.4,57.4,57.4,5/30/2019
Groundnut,Tamil Nadu,Erode,Sivagiri,46.55,60.8,58.69,5/30/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,73.11,81.36,76.24,5/30/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,76.13,79,77.57,5/30/2019
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,75.88,77.25,75.88,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,79.87,79.87,79.87,5/28/2019
Groundnut,Tamil Nadu,Vellore,Vellore,73.25,80.36,80,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,74.92,81.03,78.64,5/27/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,66.23,71.56,70.7,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,70.61,83.7,77.16,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,66.25,76.88,71.56,5/27/2019
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,78,78.9,78.58,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,72,78.37,75.18,5/27/2019
Groundnut,Tamil Nadu,Vellore,Vellore,71.99,78.79,75,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,59.75,64.73,60.28,5/27/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,63.86,76.58,70.23,5/28/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,66.99,71.11,69.45,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,62.86,75.16,69.01,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,59.23,63.13,61.3,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,66.99,73.24,70.12,5/29/2019
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,71.96,78.86,78.36,5/29/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,74.86,80.19,77.53,5/29/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,79.23,80.86,80.04,5/29/2019
Groundnut,Tamil Nadu,Vellore,Vellore,75.95,82.25,82,5/29/2019
Groundnut,Tamil Nadu,Cuddalore,Cuddalore,70.79,70.79,70.79,5/28/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,53.86,76.13,74.11,5/29/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,65.24,70.99,69.36,5/29/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,67.49,72.37,71.99,5/29/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,59.33,63.13,59.8,5/29/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,67.01,83.61,75.31,6/10/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,65.01,72.11,70.29,6/10/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,72.61,78.61,75.61,6/10/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,79.99,82.11,81.05,6/10/2019
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,81.94,81.94,81.94,6/10/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,51,64,52,6/10/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,61.5,77.36,75.86,6/10/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,77.11,79.98,78.36,6/10/2019
Groundnut,Tamil Nadu,Vellore,Vellore,76.94,83.89,82,6/10/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,55.98,60.48,57.98,6/10/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,74.86,76.36,76.15,6/10/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,77.13,82.49,79.81,5/29/2019
Groundnut,Tamil Nadu,Dindigul,Vedachandur,48.9,49,48.95,5/30/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,67.86,71.54,70.99,6/11/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,73.73,79.61,78.38,6/11/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,57.48,63.73,58.48,6/11/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,43.74,67.99,67.74,6/13/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,72.34,74.46,73.4,6/11/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,65.76,86.67,73.51,6/12/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,60.24,71.99,70.59,6/12/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,80.49,83.24,81.89,6/12/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,52,62.5,52.5,6/12/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,62.63,78.19,66.12,6/12/2019
Groundnut,Tamil Nadu,Vellore,Vellore,76.11,83.33,80,6/11/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,72.36,75.8,74.08,6/11/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,52,63,52.5,6/11/2019
